time,min_power,max_power
20200113:0210,0,0
20200113:0310,0,0
20200113:0410,0,0
20200113:0510,0,0
20200113:0610,0,4
20200113:0710,28,176
20200113:0810,157,370
20200113:0910,239,550
20200113:1010,276,601
20200113:1110,145,576
20200113:1210,115,492
20200113:1310,41,356
20200113:1410,5,172
20200113:1510,0,0
20200113:1610,0,0
20200113:1710,0,0
20200113:1810,0,0
20200113:1910,0,0
20200113:2010,0,0
20200113:2110,0,0
20200113:2210,0,0
20200113:2310,0,0
20200114:0010,0,0
20200114:0110,0,0
20200114:0210,0,0
20200114:0310,0,0
20200114:0410,0,0
20200114:0510,0,0
20200114:0610,0,4
20200114:0710,28,176
20200114:0810,157,370
20200114:0910,239,550
20200114:1010,297,601
20200114:1110,145,576
20200114:1210,115,492
20200114:1310,41,356
20200114:1410,5,172
20200114:1510,0,0
20200114:1610,0,0
20200114:1710,0,0
20200114:1810,0,0
20200114:1910,0,0
20200114:2010,0,0
20200114:2110,0,0
20200114:2210,0,0
20200114:2310,0,0
20200115:0010,0,0
20200115:0110,0,0
20200115:0210,0,0
20200115:0310,0,0
20200115:0410,0,0
20200115:0510,0,0
20200115:0610,0,6
20200115:0710,28,176
20200115:0810,157,370
20200115:0910,239,550
20200115:1010,297,601
20200115:1110,145,576
20200115:1210,115,492
20200115:1310,49,356
20200115:1410,5,172
20200115:1510,0,0
20200115:1610,0,0
20200115:1710,0,0
20200115:1810,0,0
20200115:1910,0,0
20200115:2010,0,0
20200115:2110,0,0
20200115:2210,0,0
20200115:2310,0,0
20200116:0010,0,0
20200116:0110,0,0
20200116:0210,0,0
20200116:0310,0,0
20200116:0410,0,0
20200116:0510,0,0
20200116:0610,0,11
20200116:0710,28,176
20200116:0810,157,401
20200116:0910,239,592
20200116:1010,297,611
20200116:1110,145,576
20200116:1210,115,492
20200116:1310,57,356
20200116:1410,5,172
20200116:1510,0,0
20200116:1610,0,0
20200116:1710,0,0
20200116:1810,0,0
20200116:1910,0,0
20200116:2010,0,0
20200116:2110,0,0
20200116:2210,0,0
20200116:2310,0,0
20200117:0010,0,0
20200117:0110,0,0
20200117:0210,0,0
20200117:0310,0,0
20200117:0410,0,0
20200117:0510,0,0
20200117:0610,0,11
20200117:0710,28,176
20200117:0810,157,401
20200117:0910,239,592
20200117:1010,297,611
20200117:1110,145,576
20200117:1210,115,492
20200117:1310,57,356
20200117:1410,5,172
20200117:1510,0,0
20200117:1610,0,0
20200117:1710,0,0
20200117:1810,0,0
20200117:1910,0,0
20200117:2010,0,0
20200117:2110,0,0
20200117:2210,0,0
20200117:2310,0,0
20200118:0010,0,0
20200118:0110,0,0
20200118:0210,0,0
20200118:0310,0,0
20200118:0410,0,0
20200118:0510,0,0
20200118:0610,0,11
20200118:0710,28,176
20200118:0810,187,401
20200118:0910,239,592
20200118:1010,297,611
20200118:1110,145,576
20200118:1210,115,492
20200118:1310,83,356
20200118:1410,5,172
20200118:1510,0,0
20200118:1610,0,0
20200118:1710,0,0
20200118:1810,0,0
20200118:1910,0,0
20200118:2010,0,0
20200118:2110,0,0
20200118:2210,0,0
20200118:2310,0,0
20200119:0010,0,0
20200119:0110,0,0
20200119:0210,0,0
20200119:0310,0,0
20200119:0410,0,0
20200119:0510,0,0
20200119:0610,0,19
20200119:0710,28,176
20200119:0810,187,401
20200119:0910,239,592
20200119:1010,297,611
20200119:1110,145,620
20200119:1210,115,492
20200119:1310,83,356
20200119:1410,44,174
20200119:1510,0,0
20200119:1610,0,0
20200119:1710,0,0
20200119:1810,0,0
20200119:1910,0,0
20200119:2010,0,0
20200119:2110,0,0
20200119:2210,0,0
20200119:2310,0,0
20200120:0010,0,0
20200120:0110,0,0
20200120:0210,0,0
20200120:0310,0,0
20200120:0410,0,0
20200120:0510,0,0
20200120:0610,0,21
20200120:0710,44,176
20200120:0810,187,401
20200120:0910,239,592
20200120:1010,313,611
20200120:1110,176,620
20200120:1210,199,544
20200120:1310,83,356
20200120:1410,68,174
20200120:1510,0,0
20200120:1610,0,0
20200120:1710,0,0
20200120:1810,0,0
20200120:1910,0,0
20200120:2010,0,0
20200120:2110,0,0
20200120:2210,0,0
20200120:2310,0,0
20200121:0010,0,0
20200121:0110,0,0
20200121:0210,0,0
20200121:0310,0,0
20200121:0410,0,0
20200121:0510,0,0
20200121:0610,0,25
20200121:0710,44,176
20200121:0810,187,401
20200121:0910,239,592
20200121:1010,313,611
20200121:1110,176,620
20200121:1210,199,544
20200121:1310,83,356
20200121:1410,68,174
20200121:1510,0,0
20200121:1610,0,0
20200121:1710,0,0
20200121:1810,0,0
20200121:1910,0,0
20200121:2010,0,0
20200121:2110,0,0
20200121:2210,0,0
20200121:2310,0,0
20200122:0010,0,0
20200122:0110,0,0
20200122:0210,0,0
20200122:0310,0,0
20200122:0410,0,0
20200122:0510,0,0
20200122:0610,0,25
20200122:0710,44,176
20200122:0810,150,401
20200122:0910,196,592
20200122:1010,313,611
20200122:1110,176,680
20200122:1210,199,576
